@relation bla
@attribute senti {-1,0,1}
@attribute text string
@data
'1','Great for US and abroad planning.'
'1','Great game and nice update'
'1','Great game for all ages with the ability to uncover new challenges.'
'1','Great graphics and the physics engine is dead-on!'
'1','Great in helping me find restaurants.'
'1','Great information is available.'
'1',"Great levels have been added, and it's been awesome!"
'1','Great messenger app Excellent, wouldnt have done it better myself :))'
'1','Great new levels'
'1','Great new levels at an incredible price.'
'1','Great Photoshop I like it alot, especially for small touch ups and facebook!'
'1','Great productivity app: syncs across all my devices without a problem.'
'1','Great puzzle game.'
'1','Great service with this app.'
'1','Great sharing Love to be able to search and find exactly what I want!'
'1','Great sync across several devices...'
'1','Great that I can move between iPhone and iPad without losing all of my hard work.'
'1','Great tool to consolidate your notes'
'1','Great tool.'
'1','Great trip tool.'
'0','great way to save favourite things love it but constant emails irritating'
'-1',"Green interface doesn't look, or feel good."
'1','Grt app, not just editing d pics...bt lso u can create ur own fun wid it!'
'1',"Gud It's very good way to contact people far away"
'0','Had to disable this is privacy settings to just to resolve the battery drain.'
'-1','Had to keep restring my password to try to use it.'
'0','Handy announcements from Evernote.'
'1','Happy with the updates especially the quick pin and like capability!'
'1','Has been helpful in locating great places to stay and eat from south Alabama to Arkansas to Texas.'
'-1','Hate the moving target!'
'-1','Hate the new levels!'
'-1','Hated the bad piggies app with all the building stuff and this is just as bad.'
'1','Have been using Evernote forfiver a year now... very easy-to-use program, love the syncing with my desktop, phone, iPad, etc.'
'1','Have it on my iPhone, iPad and computer.'
'0','Have it so instead of uploading all photos, have it so you can choose which ones to upload as a option in settings.'
'1','Have never had any issues with this app, its been my go to for enhancing  photos and has never let me down!'
'-1','Have to scroll thru all the pictures to get to the end.'
'1','Have used in US, Ireland and Continental Europe, easy to use good information including location, numbers and web site.'
'1','Having a map to get you there also helps.'
'1','Having been using trip advisor for quite a few years, I find the ap to be very useful.'
'-1','Having problem getting to update upgrade!?'
'0',"Having search feature for a word does me no good if I can't search within the note to find that word."
'1',"Having this available easily on my phone made checking updates on projects from work to sharing items much easier when I'm not at a computer."
'1','He looses his notebooks but the pen syncs with Evernote and all his handwritten notes are there.'
'1','Head to their website and they have user guides which will give you some ideas.'
'1','Help me find many hotels when I need help.'
'1','Help!'
'-1',"Here's my review for Red's Mighty (Crappy) Feathers: it's just not fun."
'1','Honestly, it took me some time to get used to using this application - web clipping, photo notes, sharing, etc., but now I find this app to be the "deal killer" - the one thing that MUST be on every device -   The note scanning is so powerful it can read my scribbles (take notes in a meeting, take pics in evernote, throw them out!'
'-1','Hope Dropbox team improves the QA process and perform more exhaustive testing before releasing a new version.'
'0','Hopefully an update with power ups will come soon to help people clear this episode and put it behind them.'
'-1',"Horrible update I'm furious I spent my money to get this!!!!"
'-1','HOW CAN I CAN MAXIMIZE THE SLIDE SHOW ?!'
'0','How can I have the old version????'
'0','How do I get MCPE maps and mods?'
'0','How do you move files within existing folders?'
'0','How hard would it be to include this as an additional search filter?'
'0','How to add voice memo from the iPhone?'
'-1','however there is still a problem which is that when you try using the "open in" option in other iPad applications, and ask to open in Dropbox, the filed just opened shows up in the iPad Dropbox application, but the Dropbox server is not updated... meaning that file is not found in the Dropbox folders if you access the folders in a different device/computer, etc...'
'-1','However, the positioning is glitchy.'
'-1','However, this latest update is AWFUL.'
'-1','However, when I use the camera upload option in iOS 7, it only uploads the original photo and not the edited one.'
'0','HTC 4G android.'
'1','HTC Amaze It could be better but its almost perfect with the filters.'
'1','HTC one Best social app ever.!!'
'1','HTC one s Good'
'1','HTC user Great app.'
'-1','I absolutely HATE the new levels - the new format is horrible.'
'1','I absolutely love being able to save notes and organize them in notebooks.'
'1','I absolutely love pinning projects, recipes and travel ideas.'
'1','I access all my entries on my iPad, iPhone, or computer.'
'1','I actually do alot of the pins been a success so far!'
'-1','I also find that the left column flickers and the program crashes at every other use.'
'1','I also like that i can add any places and review them.'
'1','I also love that I can view it all on various devices.'
'1','I also love the dead simple camera upload for my iPad & iPhones but would like to see that integrated outside of a sync.'
'1','I also love the feature of sharing stuff with mates.'
'-1',"I also miss the 'page xx of xx' feature when scrolling."
'1','I also think the latest style refresh is a big positive in the right direction.'
'1','I also use Evernote Food App (which syncs with Evernote).'
'0','I also wished that there was a way to respond to replies.'
'0',"I also wouldn't mind an option to pin to multiple boards."
'1','I always go to trip advisor to see opinions whether the are good reviews or not.'
'0','I always read all the reviews while we are traveling on the road.'
'0','I am also unable to email the existing info.'
'1','I am enjoying this app and how I can place items that I want to review at a later time.'
'-1','I am having problems uploading stuff to survival craft a game.'
'1','I am never without important documents that I need to review or look up that are password encoded.'
'-1','I am no longer given the option to "open in".'
'1','I am not a computer inclined persone and I was looking for something easy to crop pictures with.'
'-1','I am not a fan of the new version.'
'-1','I am not finding a way to read the longer, truncated file names in the left column.'
'0','I am on the road 5 days out of the week and I needed a dependable application for locating hotels, restaurants, Starbucks, etc.'
'0','I am planning my entire vacation to Key West using trip advisor.'
'1','I am really using this Tripadvisor to receive information about hotels restaurants, etc.'
'1','I am so addicted to pinning on my 20+ boards.'
'-1','I am THOROUGHLY disappointed and COMPLETELY disgusted with the newest levels!'
'1','I appreciate the easy access to reviews of restaurants and other places.'
'0','I appreciate the reviews from people and try to contribute whenever I can.'
'1','I can access files anywhere.'
'0','I can access through the "open" option on dropbox App Store page but not through dropbox icon on phone page.'
'1','I can edit pictures in a high quality.'
'-1','I can log in through safari fine, but when I use the app I keep getting a pop up which won\'t go away that says "connect to itunes to use push notifications" the weird thing is, I have all notifications for Dropbox turned off!'
'-1',"I can no longer link my account to my atomic web browser, don't know if it's cause of the iOS 7 update, if so then please update the app to work with it"
'-1','I can NOT access them.'
'-1','I can not open many of my files on my Ipad.'
'0','I can only hide it, not adjust it.'
'1','I can order the searches to look at latest entries first which is very important in my business.'
'1','I can pin everything I like and send pictures and quotes to my girlfriend.'
'1','I can pretty much have access to all my photos and videos on the go without it taking space on my phone.'
'0','I can reinstall the app and then it works for a while, until I switch to a different app or go to the home screen, then I have the same problem.'
'0','I can search for them and find them.'
'1','I can search pictures of business cards, agendas as well as meeting notes and I can do this from my iPad, iPhone, web or home computer app.'
'1','I can tag items and move between folders which allow me to manage my daily tasks and set reminders if something has a due date.'
'-1',"I can't believe Rovio went to all this trouble to turn a perfectly fun and addicting game into a game that should just be thrown in the trash!!"
'-1',"I can't believe you guys removed one of the most useful features of Evernote, which was the ability to style lines as either a section, subsection, paragraph or blockquote."
'-1',"I can't effectively use my notes...it's too much of a hassle to try to look in each month for a note created, and even each month is not in alphabetical order."
'-1',"I can't even get the game to play."
'-1',"I can't find a master list of reminders in the app or the desktop version."
'-1',"I can't get passed the first level because it crashes"
'-1',"I can't open Dropbox."
'-1',"I can't open it on my ipad 3."
'-1',"I can't share folders!"
'-1',"I can't update it, can't delete it, can't use it."
'-1',"I can't write with the confidence that EverNote will not crash, but HEY, I can take a picture of my pancakes and keep it for posterity."
'-1','I cannot open this app anymore.'
'0','I care more about the functionality than the looks, so this review will say nothing about the updated look.'
'-1','I catch myself just jotting notes on a sticky pad and leaving them on my desk...'
'0','I choose a level and it keeps crashing!'
'-1',"I click on the icon, my enter password shows up and either it's stuck on that and I can't even enter a password, or I enter it and nothing happens."
'-1','I deleted ALL the others because of ALL the adds for your games, toys, books cartoons, and every other thing you could fit in there these games say 32 MB but they are all almost 200 MB because there is soooo many adds in them.'
'-1','I did not give permission to upload pics.'
'-1','I did the update and they made me change my password.'
'-1',"I didn't finish Bad Piggies and won't be finishing this either."
'1',"I didn't have to uninstall just shut down app and reload and connect to wifi"
'-1',"I didn't wish to upgrade to IO7 on my ipad2 and can't on my orginal ipad."
'-1','I dislike the latest version.'
'-1',"I dislike the update on the news feed, I don't want to see in which boards my pins are being pinned to..."
'1','I do all of my bookings with TripAdvisor through the app or through the Internet and it still works very well!'
'1','I do some organizing up front, but the real benefit is everything is then searchable and available on both my computers, phone and tablet.'
'0','I do wish I could change my board cover and have more categories like on the website.'
'0',"I do wish that when sharing the notes, they didn't look like garble when I use colors and formatting."
'-1',"I don't have a good sense of what actually kills the pigs, versus just wounding them, and any results I get don't seem at all repeatable from one attempt to the next."
'1',"I don't just mean the iPhone or iPad versions, but rather the entire concept."
'-1',"I don't need to see a leader board."
'-1',"I don't really know how to created the file like a word document or something."
'-1',"I download a 700 mb file and open it in a app I really don't need to have it in two places on my iPad."
'0',"I downloaded an update and now the flight search doesn't work."
'1','I downloaded the city app while I was travelling and was very happy to find that the maps worked even without using data.'
'1','I enjoy using trip advisor and would probably post more reviews if I could see a list and access my own reviews from the app.'
'1','I enjoy your creativity to find ever more and different puzzles for me.'
'1','I especially like the web clipper and then emailing right from Evernote'
'0','I even purchased the Pro version.'
'-1','I find I must logon again each and every time I open the app on my iPad2 running iOS7.'
'1','I find it very handy to be able to copy from penultimate straight to Evernote!'
'-1','I find the interface to be awkward, but the biggest fault w this app is its poor syncing across devices.'
'-1','I find the new levels to be more frustrating and I don\'t get that "just one more before bed" hooked feeling I get from the other Angry Birds levels and spinoffs.'
'1','I find this app one that I use whether I am at home looking for a restaurant that I have not tried or to make recommendations for friends planning on visiting the area.'
'0',"I found this app pretty helpful overall for finding hotels and reading reviews, however the search feature was a bit limited and didn't allow me to filter by brand name easily."
'-1','I generally love Dropbox, but since I upgraded to iOS 7 I can no longer view html files properly (I am referring to files saved on my Dropbox as .html).'
'-1','I get a big black screen every time I try to click on the hotels pictures.'
'-1','I get a pop up about push notifications and if I push ok it pops back up again making it completely inoperable.'
'0','I get the logo screen and then the app crashes completely.'
'1','I go and then post my thoughts.'
'1','I got this app free thanks to FeaturePoints!'
'-1','I gotta say, overall I like this app, although the logic behind the 15 min cap on streaming alludes me.'
'-1','I guess they are forcing us to pay for premium, find alternative, fellows!'
'-1','I had higher expectations for this new version.'
'-1','I had to upload all the pictures to a named folder, then I had to use the Internet browser to login to Dropbox and then send the link to the folder from there.'
'0','I hate giving this 3 stars, but know its just for the app interface, not Evernote itself, which I love.'
'-1','I hate how hard iris to put different notes into different notebooks, though!'
'-1',"I hate it so much I don't want to give it Bull crap.stupid"
'0','I have a factory refurbished older iPad and it cannot run IOS 7.'
'-1',"I have a premium account and I use Evernote for business and personal items all day long and I am very frustrated about the new advertisement section I've been graced with despite paying not to have advertisements."
'-1',"I have all the iPod ones but deleted rio cause I didn't like it."
'-1','I have also had issues refreshing feed at times...but otherwise great app.'
'1','I have been using Dropbox for years now and I have never been more happy when it comes to sharing files with myself (between all my devices) and with friends.'
'-1','I have been using the app for sharing files while I travel but it know longer works.'
'-1','I have camera upload on and when I opened it, it started reuploading over 200 photos even though they were already there.'
'-1','I have had this game for a long while and never had problems, once I updated my phone to iOS 7, and re-downloaded angry birds on an I-phone 4 I have not even been able to play the game but rather fight glitches, not full screen and will not respond.'
'1','I have had this program for over a year now.'
'-1','I have inadvertently deleted entire notes because of the new layout, which is slow and barely functional.'
'1','I have it on all my devices to note ideas down, clip web articles and can search through everything.'
'1','I have it uploading my photos, which it does consistently well and syncing docs I need.'
'-1','I have loved this game since the first time I ever played it...but I am so sick of getting the instant text messages of reminding me of my "daily rewards".'
'1','I have many things on my PC and it automatically syncs to my iPhone.'
'1','I have never had any difficulties with it,  very user friendly.'
'-1','I have no desire to do either and I never could figure out how to bypass the startup login requirement and use it as a standalone note taking app.'
'0','I have no idea how to get drop box files to sync with the iPhone or iPad'
'-1','I have over 200 notes in Evernote (verified in the Mac version and on Evernote.com), but only 4 of them appeared in the new version of this app until I deleted and reinstalled it.'
'1','I have the app on my phone and iPad.'
'0',"I have to go to my iPhone to see B &B's or filter by categories within restaurants and things to do."
'-1','I have to open the files in other programs.'
'-1','I have to overwrite in the app to update a file and then I have to use the web version to move updates files into a folder.'
'-1','I have tried a number of note taking apps, and it is fair to say that I am not a huge fan of any of them.'
'1','I have tried its info a couple of times and it always turns out very reliable.'
'-1','I have tried to get information on TA and all I see is this statement that the review has been removed.'
'-1','I have upgraded to the new version.'
'1','I have used Dropbox for a while but the 2 features which I live the most are Open in Dropbox and save on your mobile device.'
'1',"I haven't even begun to scratch the surface of all its capabilities, but I love the fact that it will sync across all my devices."
'-1','I hoped the update would bring back the "open in" option but it didn\'t.'
'-1',"I just downloaded it and can't open it on my iPad!"
'-1','I just downloaded the new update and every time i try to play a level it crashes.'
'1','I just realized that you had to update it!'
'1','I just started a new position within my company that requires me to travel and I always refer to Trip Advisor for ratings on hotels and good places to get a hot meal.'
'0',"I just struggle to find a use for it, and when I do, I often want PDFs out, which I struggle to acquire at work where it's all Windows all the time."
'0','I just updated the app and the little blue loading bar thingy on the app itself is stuck on full.'
'0','I just want to indent).'
'0','I just wish that there was a calendar integration and sub folders within stacks.'
'0','I just wish there was an option to change the name of pictures and documents through your phone.'
'0',"I just wish you could edit your word documents other than that it's great!"
'-1','I keep getting the message "connect to ITunes to get push notifications.'
'-1','I keep trying to get to one of my files, but the app keeps crashing for some reason.'
'-1','I know I can just do a screen shot but i prefer the clean cut copy you receive, without boarders from saving images to the camera roll!'
'0','I know there is an outline feature (with either dots or numbers, this is not the feature I commonly use.'
'1','I lately found this app..simply amazing interface and many options'
'1','I like being able to take pictures and use it often for business cards.'
'1','I like it It is that best way to chat every  one'
'1','I like it.'
'1','I like submitting my honest reviews as I see them and am glad people can take what I have to say and make their own opinion.'
'1','I like that it gives you more info about the area.'
'0','I like the app, and the program a whole lot, but my WAV files only load and play when I have a wifi connection.'
'1','I like the candor reflected in the reviews.'
'1','I like the concept and automation using the subject line.'
'1','I like the fact that I can download drop box on any device and share pics.'
'1','I like the fact when there is a negative report, the owner can rebuttal it online.'
'-1','I like the game but, it takes  a lot of space?'
'1','I like the new update rovio keep up the good work'
'-1','I like the page preview feature of the new version, but the general PDF viewing experience is worse.'
'1','I like the UI improvements with the new version.'
'-1','I like this app but it is a bit frustrating because it is not fully synchronized with my Tripadvisor profile on the actual website.'
'0','I like this app i just reallyy wish it could support zip files as well if that was changed i would so give it a 5star rating :)'
'1','I like this app, which allow us to chat, share music and video...'
'-1','I like Trip Advisor, but their app is slow and feels buggy.'
'1','I like using trip advisor to look for restaurants in areas along with hotels.'
'1','I liked the old color scheme.'
'0','I liked very much the upgrade to pdfs (divisions and search).'
'1','I loaded 314 documents in about five seconds.'
'-1','I logged in with my new password and ALL of my files are missing!'
'-1',"I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset."
'0','I love where are the colors of the textfonts?'
'-1','I LOVE AB but this latest update is horrible.'
'1','I love all the great things I find and the ease of pinning them.'
'0','I love angry birds and I love that this have more levels!!!'
'-1','I love angry birds but the new update is awful!'
'-1','I love angry birds but this new level is really unpleasant and confusing.'
'0','I love Angry Birds but where are some new levels?!'
'-1','I love Angry Birds but with this new update not so much.'
'-1','I love angry birds,but im not happy with you.Why do you need Open GL 2.0?'
'0','I love angry birds.And you should sign with sponge bob squarepants for an app .And you should youse Billy Joel music for your background sound.'
'1','I love Dropbox on my Mac and I use it all the time to share files with my photography clients.'
'-1',"I love Evernote and have become very reliant on it, one of the apps I can't do without however I am without it now because it crashes on open and will not open on iPhone."
'1','I love having all my photos backed up automatically and not having to keep them on my phone.'
'1','I love having trip advisor on my iPhone and iPad.'
'1','I love it Easy to use'
'1','I love it Easy to use and relatively stable app.'
'1',"I love it It's a place for me to see fandom stuff and funny photos."
'1','i love it this app lets you create beautiful pictures'
'1','I love it and highly recommend for all devises and all file types.'
'0','I love it, making a password lock before accessing the actual app would be perfect, for the fact that most of the files are very important, but still an amazing app.'
'0','I love our Dropbox functionality and speed.'
'1','I love pasting notes to ever note.'
'1','I love seeing the trip advisor signs when I go into restaurants now.'
'1','I love that I can have post it notes without the post its.'
'1','I love that it syncs with my computer.'
'1','I love that you can access your notes from anywhere.'
'1','I love the ability to search for bargains in travel and lodging, and get the inside baseball on what I can expect from local hotels and restaurants!'
'1','I love the ability to sync on all of my computers so I am always up to speed.'
'1','I love the app for allowing me to keep my notes organized and synchrd across devices.'
'1','I love the do-anything note capabilities: text, inline photos, audio files, web-clips (which I have yet to become proficient with, but will)!'
'0','I love the document photo feature.'
'1','I love the edits but lately picsart will not let me upload or share my picture ..please fix!'
'-1','I love the Evernote app but ever since the last update, which was a few days ago, this app has been giving me nothing but problems.'
'1','I love the fact that Evernote allows me to sync my notes between each of my devices and computers.'
'1','I love the fact that its so easy to use and now my cel is working better than ever!'
'1','I love the highlight section, but wish there is more color than yellow.'
'-1',"I love the idea of Dropbox but my cloud does the same thing... My videos take a really long time to upload I think it froze :( If the app didn't take up space on my iPad then I would be impressed ;)"
'1','I love the moving targets!'
'1','I love the new clean UI.'
'1','I love the new design for iOS 7'
'1','I love the new levels they are very challenging .'
'0',"I love the new Reds Mighty Feathers but for some reason, ever since I updated it, the classic Angry Birds isn't giving me my Daily Reward anymore."
'1','I love the PC version and an app just puts icing on the cake!'
'0','I love the redesign.'
'1','I love the variety of levels and birds.'
'1','I love the website as well.'
'1','I love this app I can edit my photo easily.good and keep it up!'
'0','I love this app but I do wish I could highlight words in PDFs and create bookmarks.'
'0','I love this app but my opinion is to add some more clear tracing image and coloring bottle in draw menu so that i can make comics like a photoshop.'
'1','I love this App it helps me a lotwhen travelling, specially if you take your time to read the reviews!'
'-1','I love this app just wish it was available for every site i visited.. Would recommend.'
'1','I love this app so much I recommended this so to anyone that likes to edit pictures.'
'-1','I love this app, BUT it is not working with iOS7!!!!!'
'-1','I love this APP, I LOVE Trip Adviser, but since the last upgrade I\'ve lost my option to "like" or save favorite places and I\'ve sadly lost the ones that I had marked for an upcoming vacation!'
'1',"I love this because it's a fun way to express yourself!"
'-1',"I love this one and its just not working right for me:'( now it won't download the features is Stuck I don't know if its me or you ??"
'1','I love using it otherwise, and love that ican access any file in dropbox on all my computers and easily share with others'
'1','I love using Trip Advisor to plan my travels...the reviews are extremely helpful!'
'1','I love you pics art If you want editor for android ...go with dis app only trust me...its best for android and fabulous for canvas HD i love itttttttttt'
'0','I loved the app, but ever since I installed iOS 7 and updated the app, it does not start.'
'0','I need to save the file to see the photo on my iPhone.'
'1','I never book a room without checking the reviews on this site first!'
'-1',"I now have to enter numerous towns and do numerous searches to find what I'm looking for."
'-1','I once had a problem on my iPad with an endless loop asking me to connect to iTunes.'
'-1','i only can view pdfs once.'
'0',"I only wish there was streaming support for media files (btw @dropbox - I'd pay extra for that)."
'-1','I paid for it now its free?'
'-1',"I paid for these games, this wasn't suppose to happen....Grrr"
'1','I paste my passwords I paste copies of receipts and anything that I need to locate later and I can easily find it in one location the search option is very handy as well.'
'1',"I personally know I'm not with most of the people who wrote the review, I actually like the new level set."
'1','I prefer using it on my ipad than my phone as the clarity of the pictures are incredible.'
'1','I really enjoy  chatting in watsapp!'
'-1','I really enjoy this app but during my use, I just wish I could format my notes a little more nicely - by that I mean more functions like the ones in InDesign, or apps similar to it.'
'1','I really like its integration with other SaaS tools.'
'0','I really love how Dropbox update design.'
'1','I really love the new levels.'
'-1','I really wanted a note system I could trust, but Evernote just lost all my notes on the upgrade.'
'-1','I rely on Dropbox for syncing daily annotated PDFs from my iPad to my home computer.'
'-1',"I spent 90 cents on this last year, AND NOW IT'S FREE?!?!?!"
'1','I started writing review a couple of years ago and I must say this is the best app out of all my apps.'
'1','I suggest that the next angry bird be angry birds "lord of the rings.'
'1','I swear by Tripadvisor and this app makes it so accessible.'
'0','I tend to provide reviews on the fly and my only wish is that I could edit them through the app.'
'1','i think best gud'
'0','I think there should be an option for quieter areas to go to, since most places are very touristy and crowded.'
'-1',"I thought I paid .99 to remove ads but apparently they're back."
'-1',"I tried changing all the push notification options and it doesn't fix it!"
'-1','I tried reloading but it still asks to connect to iTunes and will not work on my Ipad'
'-1','I tried to launch it and it always crashes and exits.'
'-1','I tried to log in on my iPad but it would not let me.'
'-1','I trusted Dropbox as a back up for my photos.'
'-1','I try to go for something and it always points me away from the target I want to hit terrible update'
'0','I turn first to them for hotel and dining recommendations at home or in some exotic destination.'
'1',"I understand it now and it's really very fun to find things snag pin them."
'-1',"I updated the dropbox app on my iPad and can't view any of my PDF files."
'1','I use Evernote for so many things: Note taking, Recording meetings, to do lists, web clipping, reading PDFs - and everything syncs to all devices i use.'
'1','I use for everything!'
'1','I use it a lot and I post a lot of my reviews too!'
'1','I use it across platforms and it always works without a glitch.'
'0','I use it DAILY to keep my (gluten-free, dairy-free) recipes organized!'
'1','I use it everyday.'
'1','I use it for all my note taking.'
'1','I use it to keep track of recipes, make notes on hobbies, keep up with maintenance tasks'
'0','I use it to look for places near me- in the US and in Europe.'
'1','I use it to save recipes or articles of interest to read at a later time.'
'1','I use it to store all sorts of data that I need to be able to recall quickly.'
'1','I use it to sync files between a desktop, laptop, iPad, iPod and iPhone.'
'1','I USE IT TO WRITE JOURNAL ENTRIES, TAKE NOTES AT CHURCH, JOB MEETINGS, ETC.'
'0','I use several apps for PDF viewing and one feature that keeps me on the prowl for the holy grail of PDF viewers, is an app that supports PDF markup.'
'1','I use the app mostly for researching hotel options and things to do in different towns around the world.'
'1','I use the site a lot when traveling to search out places to eat and stay and some are spot on and some not.'
'0','I use this app all the time when on vacation and this new version is making it very difficult to look at my saves.'
'1','I use this app anytime we have travel plans as I rely on the reviews to help us make travel decisions as to where to stay, visit, etc.'
'0',"I use this app constantly to log and recall business cards, notes, to do's, wine, art, inspiration, quotes...everything."
'1','I use this app quite a bit to find restaurants and hotels, both near and far.'
'1','I use this app to edit all my pictures.'
'1','I use this app to keep track of everything from work tasks, household chores, shopping lists and ideas for the future without getting them mixed up.'
'1','I use this to organize my life.'
'1','I use thus app more than any of my other apps combined... from voice memos, notes, recipes... it can all be saved, filed and tagged for easy retrieval and viewing.'
'-1','I used  to rely on Dropbox to transfer files from my iPad to my computer.'
'1','I used it some before the reminder system was added.'
'-1','I used to be able to view .xls files on my iPad AND iPhone.'
'-1',"I used to enjoy it but now with Bad piggies and next it is more and more difficult to get 3 stars, it is not fun anylonger; stay away from it, specially the red' feather crap, not the classic episode, it is garbage"
'0',"I used to love the simplicity of the web interface, but the new one seems too cumbersome and I've had some really weird issues where it has overwritten my notes."
'0','I used to LOVE this app until they ruined it by taking away the "what\'s nearby" when you\'re already scrolling down a hotel or a restaurant page.'
'0','I usually hold my iPad for trip advisor in horizontal position (sideways), so the button was nowhere to be found.'
'-1','I usually love angry birds and can\'t wait for new levels however, I HATE the new level called "red\'s mighty feathers) point made!!!'
'-1','I want my eagle back!!!'
'0','I want the old angry birds back.'
'0',"I want the old version , this don't have the option to share my files via Facebook message ,please bring back the previous version or fix that !!!"
'0','I want to be able to send a link to people of an entire folder with many pics in it from my mobile.'
'-1','I want to Pin more!'
'1','I was an early adopter and have found it to be an incredibly useful tool for productivity, personal reference, and as an idea-base.'
'0','I was browsing looking at our ratings when I found myself browsing other hotels around the country & now I want to travel more just to go to the hotels in my saved list!'
'-1','I was disappointed with the bubble bird, but I trekked on.'
'-1','I was looking for the longest time the save (Favorites feature) button until I noticed that it only appears when iPad is hold in vertical position (upright).'
'-1','I was simply trying to toggle check marks in my grocery list yesterday, and it would take three or more attempts to acknowledge me, and then suddenly the keyboard would pop up without any reason and the screen and cursor would jump to the bottom of the list.'
'-1','I will avoid updating.'
'-1','I wish I could delete them.'
'0','I wish I could email documents from Dropbox as attachments not as links.'
'0','I wish I could make more adjustments from my phone , but I still have to use the regular laptop to change pin cover photos and to  rearrange boards.'
'-1','I WISH THE INSTRUCTIONS WERE CLEARER'
'0','I wish the interface a bit different.'
'0',"I wish there was a 'move pin' button to place it to another board."
'0','I wish you could save Notes from the home page to Dropbox, that would make organizing my devotionals and other thoughts easier, as well as increase the camera upload speed instead of just one at a time.'
'0','I would give this 5 stars if it had these two additional features:  Ability to use a scroll bar on iPad and iPhone rather than swipe, swipe, swipe and more swipe to get to the bottom of a note.'
'0','I would like it better if I was able to increase the text size SUGGESTION- Have an undo button.'
'0','I would like it better if there were multi- layer nesting available for the notebooks, but it is pretty cool.'
'0','I would like the ability to share a complete folder not just one file at a time.'
'-1','I would like to say that I do not like the fact that the password has to be reset.'
'0','I would love to have an option to reply directly from my Gear.'
'1','I would never use another app to find hotels, restaurants and attractions for my travels.'
'-1','I would normally rate this game four stars, but I really dislike the new music that sounds like farting.'
'0','I would put a folder as favorite, thus putting all the files inside this as favorite too.'
'0','I would rate it higher i love the app but it says there are bots on my network and i cannot fix it'
'1','I would STRONGLY request the ability to change the text color in the iPad app like the desktop software.'
'0','I would suggest you to have at least 5 GB of space .'
'1',"I would've lost hundreds of photos if it wasn't for this app!"
'0',"I'd like this options when reading or editing too."
'1',"I'd rather find places and read reviews that others have posted."
'-1',"I'll select a bunch of my photos to back up and the app will crash out and only upload a few and not all."
'1',"I'm a crafter so when I have time and feel inspired I get on here and browse."
'-1',"I'm always looking forward to Angry Birds updates but this last one is awful."
'0',"I'm an Evernote premium user, but NEVER update my iOS on the first go round. "
'0','I\'m constantly using the other "Y" for foodie trips, but I can see that for International and tourist locations this app has more content.'
'-1',"I'm done with losing data."
'1',"I'm happy the old music is back and this wasn't an update for the stupid red mighty feathers."
'-1',"I'm having issues with moving my files."
'1',"I'm loving the organization and ease Evernote brings to my life!"
'1',"I'm planning a trip to Italy for myself and several friends and the information and reviews on trip advisor have been invaluable."
'0',"I'm trying to download minecraft pe maps but all it's says is cant view file"
'0',"I'm using ipod 4th with ios 6."
'-1',"I'm very disappointed that I can't open most excel files anymore!"
'-1',"I've been a big fan up to this point, but reds feathers is not in the same spirit, not fun."
'0',"I've been addicted forever, The only thing I would change is that over time, I want it more organized so I make another board."
'1',"I've been using Dropbox for quite sometime now, I have earned a fair amount of space, and I love being able to access all my files from my iPhone, iPad, MacBook, and the Internet via anyone else's computer."
'0',"I've gone back to using the TripAdvisor website through my browser."
'-1',"I've had to go into the note and delete it word by word."
'1',"I've now ditched all of my task management systems and note systems in favor or this single system."
'1',"I've pushed and compared to other professional apps including Adobe."
'-1',"I've seen hotels rated a 4 that in my opinion were really a 5."
'1',"I've tried Google Drive, Box, Skydrive, but none of them could upload a 20 minute video I took."
'-1','Icon is ugly'
'1','Ideas for everything This app is great for artistic projects and other creative tasks'
'1','Ideas for the house are organized too, including pictures from home and garden magazines.'
'-1','If I know a note I am searching for is in a certain folder I should not have to search through search hits from all my other folders.'
'1','If nothing else, this gives me a good place to start my searches.'
'-1','If only I could see my filled in fields of the Word forms on it it would be awesome.'
'1',"If only I could text a pin or the link to friends that aren't pinners yet."
'1','If only Penultimate would support zooming in, it would be awesome!'
'1','If they were going for the "New Coke" effect it worked.'
'0','If v select on t pic 10-15 tyms Thn Oly it works..'
'0','If we could create docs inside the app that would be great'
'1','If you are a multi-platform user this is a must have.'
'1','If you are having issues, contact support before blasting the app.'
'-1','If you can get it to run (there are tricks) then you have to deal with the ridiculous interface - like scrolling to the bottom to see a square list that has a couple of notebooks listed, not all.'
'1',"If you can't beat them, join them Great place to find interesting images and to lose a few hours a day"
'-1',"If you don't have this app, it's certainly worthwhile, but if you do take a careful look at the latest version before you upgrade."
'1','If you have the patience to navigate through its, um, "quirks," then you can get to their good info.'
'1',"If you need to store lots of information and then be able to retrieve it through a number of different tags, you'll love Evernote."
'-1','If you see a large "play" button in the middle of a screen, you would assume it starts the game, but no, it just brings you to another screen to try to sell more games.'
'-1',"If you stop numbering at, say, 5, when you start again, it's back to 1 again."
'-1','If you use a Mac then maybe no issues, but it was a bad purchase for this windows computer user.'
'1',"If you're looking for a new challenge, I highly recommend this update."
'-1','Importing files into other apps is a major pain now.'
'1','Impressed by its versatility in terms of the type of note one can take.'
'0','In a previous version, if the user was looking at pictures and suspended the app it would leave it right where they were upon restarting the app.'
'-1','In most levels, I have noticed that many balances do not follow the equilibrium laws of mechanics.'
